"schema_name","table_name"
"imp_kfm_ul_10.04.24","REORGhistoryAddress"
"imp_kfm_ul_10.04.24","REORGhistoryAuthCapital"
"imp_kfm_ul_10.04.24","REORGhistoryClassificationInfo"
"imp_kfm_ul_10.04.24","REORGhistoryFoundersFl"
"imp_kfm_ul_10.04.24","REORGhistoryFoundersInfo"
"imp_kfm_ul_10.04.24","REORGhistoryFoundersUl"
"imp_kfm_ul_10.04.24","REORGhistoryHeadOrgInfo"
"imp_kfm_ul_10.04.24","REORGhistoryIdentificationAddInfo"
"imp_kfm_ul_10.04.24","REORGhistoryLeaderInfo"
"imp_kfm_ul_10.04.24","REORGhistoryLiquidationInfo"
"imp_kfm_ul_10.04.24","REORGidentificationAddInfo"
"imp_kfm_ul_10.04.24","REORGidentificationInfo"
"imp_kfm_ul_10.04.24","REORGleaderInfo"
"imp_kfm_ul_10.04.24","REORGztFaces"
"imp_kfm_ul_10.04.24","activities"
"imp_kfm_ul_10.04.24","activitiesACT"
"imp_kfm_ul_10.04.24","address"
"imp_kfm_ul_10.04.24","classificationInfo"
"imp_kfm_ul_10.04.24","foundersFl"
"imp_kfm_ul_10.04.24","foundersInfo"
"imp_kfm_ul_10.04.24","foundersUl"
"imp_kfm_ul_10.04.24","headOrgInfo"
"imp_kfm_ul_10.04.24","historyActivities"
"imp_kfm_ul_10.04.24","historyActivitiesACT"
"imp_kfm_ul_10.04.24","historyActualStat"
"imp_kfm_ul_10.04.24","historyAddress"
"imp_kfm_ul_10.04.24","historyAuthCapital"
"imp_kfm_ul_10.04.24","historyClassificationInfo"
"imp_kfm_ul_10.04.24","historyFoundersFl"
"imp_kfm_ul_10.04.24","historyFoundersInfo"
"imp_kfm_ul_10.04.24","historyFoundersUl"
"imp_kfm_ul_10.04.24","historyHeadOrgInfo"
"imp_kfm_ul_10.04.24","historyIdentificationAddInfo"
"imp_kfm_ul_10.04.24","historyLeaderInfo"
"imp_kfm_ul_10.04.24","historyLiquidationInfo"
"imp_kfm_ul_10.04.24","identificationAddInfo"
"imp_kfm_ul_10.04.24","identificationInfo"
"imp_kfm_ul_10.04.24","leaderInfo"
"imp_kfm_ul_10.04.24","mv_ul_founder_ul_old"
"imp_kfm_ul_10.04.24","mv_ul_short_new"
"imp_kfm_ul_10.04.24","ul_founder_fl"
"imp_kfm_ul_10.04.24","ul_founder_ul"
